13:31:51.304 -> 
13:31:59.691 -> sensor = 962	 output = 240
13:31:59.691 -> sensor = 962	 output = 240
13:31:59.725 -> sensor = 962	 output = 240
13:31:59.759 -> sensor = 963	 output = 240
13:31:59.794 -> sensor = 962	 output = 240
13:31:59.828 -> sensor = 962	 output = 240
13:31:59.863 -> sensor = 963	 output = 240
13:31:59.863 -> sensor = 962	 output = 240
13:31:59.897 -> sensor = 961	 output = 240
13:31:59.932 -> sensor = 956	 output = 239
13:31:59.967 -> sensor = 901	 output = 225
13:32:00.002 -> sensor = 821	 output = 205
13:32:00.002 -> sensor = 167	 output = 41
13:32:00.037 -> sensor = 9	 output = 2
13:32:00.072 -> sensor = 9	 output = 2
13:32:00.107 -> sensor = 9	 output = 2
13:32:00.142 -> sensor = 9	 output = 2
13:32:00.142 -> sensor = 9	 output = 2
13:32:00.177 -> sensor = 9	 output = 2
13:32:00.212 -> sensor = 9	 output = 2
13:32:00.212 -> sensor = 10	 output = 2
13:32:00.247 -> sensor = 9	 output = 2
13:32:00.280 -> sensor = 9	 output = 2
13:32:00.315 -> sensor = 9	 output = 2
13:32:00.315 -> sensor = 9	 output = 2
13:32:00.350 -> sensor = 9	 output = 2
13:32:00.350 -> sensor = 10	 output = 2
13:32:00.385 -> sensor = 9	 output = 2
13:32:00.420 -> sensor = 9	 output = 2
13:32:00.455 -> sensor = 9	 output = 2
13:32:00.489 -> sensor = 10	 output = 2
13:32:00.489 -> sensor = 9	 output = 2
13:32:00.524 -> sensor = 9	 output = 2
13:32:00.524 -> sensor = 9	 output = 2
13:32:00.558 -> sensor = 9	 output = 2
13:32:00.592 -> sensor = 9	 output = 2
13:32:00.627 -> sensor = 93	 output = 23
13:32:00.660 -> sensor = 962	 output = 240
13:32:00.695 -> sensor = 963	 output = 240
13:32:00.695 -> sensor = 963	 output = 240
13:32:00.729 -> sensor = 962	 output = 240
13:32:00.764 -> sensor = 962	 output = 240
13:32:00.798 -> sensor = 962	 output = 240
13:32:00.833 -> sensor = 962	 output = 240
13:32:00.868 -> sensor = 821	 output = 205
13:32:00.868 -> sensor = 9	 output = 2
13:32:00.903 -> sensor = 9	 output = 2
13:32:00.937 -> sensor = 9	 output = 2
13:32:00.972 -> sensor = 9	 output = 2
13:32:00.972 -> sensor = 9	 output = 2
13:32:01.006 -> sensor = 109	 output = 27
13:32:01.040 -> sensor = 764	 output = 191
13:32:01.075 -> sensor = 962	 output = 240
13:32:01.110 -> sensor = 962	 output = 240
13:32:01.110 -> sensor = 963	 output = 240
13:32:01.145 -> sensor = 962	 output = 240
13:32:01.179 -> sensor = 963	 output = 240
13:32:01.214 -> sensor = 962	 output = 240
13:32:01.249 -> sensor = 951	 output = 237
13:32:01.249 -> sensor = 486	 output = 121
13:32:01.284 -> sensor = 7	 output = 1
13:32:01.319 -> sensor = 7	 output = 1
13:32:01.354 -> sensor = 7	 output = 1
13:32:01.388 -> sensor = 7	 output = 1
13:32:01.388 -> sensor = 7	 output = 1
13:32:01.423 -> sensor = 7	 output = 1
13:32:01.457 -> sensor = 7	 output = 1
13:32:01.457 -> sensor = 7	 output = 1
13:32:01.491 -> sensor = 7	 output = 1
13:32:01.526 -> sensor = 7	 output = 1
13:32:01.560 -> sensor = 7	 output = 1
13:32:01.560 -> sensor = 7	 output = 1
13:32:01.595 -> sensor = 7	 output = 1
13:32:01.630 -> sensor = 7	 output = 1
13:32:01.630 -> sensor = 7	 output = 1
13:32:01.665 -> sensor = 7	 output = 1
13:32:01.700 -> sensor = 21	 output = 5
13:32:01.735 -> sensor = 527	 output = 131
13:32:01.769 -> sensor = 963	 output = 240
13:32:01.769 -> sensor = 962	 output = 240
13:32:01.803 -> sensor = 963	 output = 240
13:32:01.838 -> sensor = 963	 output = 240
13:32:01.873 -> sensor = 963	 output = 240
13:32:01.908 -> sensor = 963	 output = 240
13:32:01.908 -> sensor = 963	 output = 240
13:32:01.942 -> sensor = 963	 output = 240
13:32:01.977 -> sensor = 963	 output = 240
13:32:02.012 -> sensor = 962	 output = 240
13:32:02.047 -> sensor = 961	 output = 240
13:32:02.082 -> sensor = 887	 output = 221
13:32:02.082 -> sensor = 226	 output = 56
13:32:02.117 -> sensor = 5	 output = 1
13:32:02.151 -> sensor = 5	 output = 1
13:32:02.185 -> sensor = 5	 output = 1
13:32:02.219 -> sensor = 5	 output = 1
13:32:02.219 -> sensor = 5	 output = 1
13:32:02.254 -> sensor = 5	 output = 1
13:32:02.254 -> sensor = 5	 output = 1
13:32:02.288 -> sensor = 5	 output = 1
13:32:02.323 -> sensor = 63	 output = 15
13:32:02.358 -> sensor = 826	 output = 206
13:32:02.393 -> sensor = 963	 output = 240
13:32:02.428 -> sensor = 963	 output = 240
13:32:02.463 -> sensor = 962	 output = 240
13:32:02.463 -> sensor = 963	 output = 240
13:32:02.498 -> sensor = 963	 output = 240
13:32:02.532 -> sensor = 963	 output = 240
13:32:02.567 -> sensor = 959	 output = 239
13:32:02.601 -> sensor = 739	 output = 184
13:32:02.636 -> sensor = 6	 output = 1
13:32:02.636 -> sensor = 6	 output = 1
13:32:02.671 -> sensor = 6	 output = 1
13:32:02.671 -> sensor = 6	 output = 1
13:32:02.706 -> sensor = 7	 output = 1
13:32:02.741 -> sensor = 7	 output = 1
13:32:02.776 -> sensor = 6	 output = 1
13:32:02.776 -> sensor = 6	 output = 1
13:32:02.810 -> sensor = 7	 output = 1
13:32:02.844 -> sensor = 6	 output = 1
13:32:02.878 -> sensor = 6	 output = 1
13:32:02.878 -> sensor = 6	 output = 1
13:32:02.913 -> sensor = 6	 output = 1
13:32:02.948 -> sensor = 7	 output = 1
13:32:02.948 -> sensor = 6	 output = 1
13:32:02.983 -> sensor = 6	 output = 1
13:32:03.018 -> sensor = 6	 output = 1
13:32:03.052 -> sensor = 7	 output = 1
13:32:03.087 -> sensor = 7	 output = 1
13:32:03.087 -> sensor = 6	 output = 1
13:32:03.122 -> sensor = 6	 output = 1
13:32:03.122 -> sensor = 7	 output = 1
13:32:03.157 -> sensor = 7	 output = 1
13:32:03.191 -> sensor = 7	 output = 1
13:32:03.225 -> sensor = 7	 output = 1
13:32:03.225 -> sensor = 6	 output = 1
13:32:03.259 -> sensor = 6	 output = 1
13:32:03.293 -> sensor = 7	 output = 1
13:32:03.293 -> sensor = 7	 output = 1
13:32:03.328 -> sensor = 7	 output = 1
13:32:03.363 -> sensor = 27	 output = 6
13:32:03.398 -> sensor = 7	 output = 1
13:32:03.398 -> sensor = 7	 output = 1
13:32:03.433 -> sensor = 6	 output = 1
13:32:03.468 -> sensor = 6	 output = 1
13:32:03.503 -> sensor = 6	 output = 1
13:32:03.503 -> sensor = 7	 output = 1
13:32:03.538 -> sensor = 7	 output = 1
13:32:03.573 -> sensor = 21	 output = 5
13:32:03.573 -> sensor = 124	 output = 31
13:32:03.608 -> sensor = 610	 output = 152
13:32:03.642 -> sensor = 962	 output = 240
13:32:03.677 -> sensor = 963	 output = 240
13:32:03.712 -> sensor = 963	 output = 240
13:32:03.712 -> sensor = 962	 output = 240
13:32:03.746 -> sensor = 962	 output = 240
13:32:03.781 -> sensor = 957	 output = 239
13:32:03.816 -> sensor = 667	 output = 166
13:32:03.851 -> sensor = 6	 output = 1
13:32:03.885 -> sensor = 6	 output = 1
13:32:03.885 -> sensor = 6	 output = 1
13:32:03.919 -> sensor = 6	 output = 1
13:32:03.953 -> sensor = 6	 output = 1
13:32:03.953 -> sensor = 6	 output = 1
13:32:03.988 -> sensor = 695	 output = 173
13:32:04.022 -> sensor = 963	 output = 240
13:32:04.057 -> sensor = 963	 output = 240
13:32:04.091 -> sensor = 963	 output = 240
13:32:04.126 -> sensor = 963	 output = 240
13:32:04.126 -> sensor = 963	 output = 240
13:32:04.161 -> sensor = 963	 output = 240
13:32:04.195 -> sensor = 963	 output = 240
13:32:04.230 -> sensor = 963	 output = 240
13:32:04.264 -> sensor = 963	 output = 240
13:32:04.299 -> sensor = 963	 output = 240
13:32:04.334 -> sensor = 963	 output = 240
13:32:04.334 -> sensor = 963	 output = 240
13:32:04.369 -> sensor = 963	 output = 240
13:32:04.403 -> sensor = 963	 output = 240
13:32:04.438 -> sensor = 920	 output = 230
13:32:04.473 -> sensor = 6	 output = 1
13:32:04.508 -> sensor = 6	 output = 1
