13:41:22.980 -> sensor = 35	 output = 8
13:41:23.015 -> sensor = 7	 output = 1
13:41:23.015 -> sensor = 6	 output = 1
13:41:23.050 -> sensor = 6	 output = 1
13:41:23.085 -> sensor = 6	 output = 1
13:41:23.120 -> sensor = 6	 output = 1
13:41:23.120 -> sensor = 6	 output = 1
13:41:23.155 -> sensor = 6	 output = 1
13:41:23.189 -> sensor = 6	 output = 1
13:41:23.224 -> sensor = 6	 output = 1
13:41:23.224 -> sensor = 6	 output = 1
13:41:23.258 -> sensor = 6	 output = 1
13:41:23.258 -> sensor = 6	 output = 1
13:41:23.293 -> sensor = 6	 output = 1
13:41:23.328 -> sensor = 6	 output = 1
13:41:23.363 -> sensor = 6	 output = 1
13:41:23.398 -> sensor = 6	 output = 1
