13:36:39.880 -> sensor = 5	 output = 1
13:36:39.914 -> sensor = 5	 output = 1
13:36:39.914 -> sensor = 5	 output = 1
13:36:39.949 -> sensor = 5	 output = 1
13:36:39.984 -> sensor = 5	 output = 1
13:36:40.018 -> sensor = 5	 output = 1
13:36:40.018 -> sensor = 5	 output = 1
13:36:40.053 -> sensor = 81	 output = 20
13:36:40.088 -> sensor = 963	 output = 240
13:36:40.088 -> sensor = 963	 output = 240
13:36:40.123 -> sensor = 963	 output = 240
13:36:40.158 -> sensor = 963	 output = 240
13:36:40.193 -> sensor = 963	 output = 240
